"Name","IsAmR","IsMR","IsWR","FinishTime","FinishSeconds","IsDNS","IsDNF","Year"
"Walter Mehl","0","0","0","4:13.6","253.6","0","0","1941"
"Leslie MacMitchell","0","0","0","","","0","0","1941"
"Charles Fenske","0","0","0","","","0","0","1941"
"John Munski","0","0","0","","","0","0","1941"
"Paul Moore","0","0","0","","","0","0","1941"
"Charles Fenske","1","1","1","4:07.4","247.4","0","0","1940"
"Glenn Cunningham","0","0","0","4:07.7","247.7","0","0","1940"
"Gene Venzke","0","0","0","4:08.2","248.2","0","0","1940"
"Louis Zamperini","0","0","0","4:08.2","248.2","0","0","1940"
"Blaine Rideout","0","0","0","","","0","0","1940"
"Leslie MacMitchell","0","0","0","","","0","1","1940"
"Glenn Cunningham","0","0","0","4:13.0","253","0","0","1939"
"Charles Fenske","0","0","0","","","0","0","1939"
"Wayne Rideout","0","0","0","","","0","0","1939"
"Archie San Romani","0","0","0","","","0","0","1939"
"Blaine Rideout","0","0","0","","","0","0","1939"
"John Munski","0","0","0","","","0","0","1939"
"Josef Mostert","0","0","0","","","0","0","1939"
"Glenn Cunningham","0","1","0","4:11.0","251","0","0","1938"
"Archie San Romani","0","0","0","","","0","0","1938"
"Charles Fenske","0","0","0","","","0","0","1938"
"Gene Venzke","0","0","0","","","0","0","1938"
"Donald R. Lash","0","0","0","","","0","1","1938"
"Glenn Cunningham","0","0","0","4:14.4","254.4","0","0","1937"
"Gene Venzke","0","0","0","4:14.8","254.8","0","0","1937"
"Archie San Romani","0","0","0","4:15.0","255","0","0","1937"
"Donald R. Lash","0","0","0","4:15.2","255.2","0","0","1937"
"Charles Fenske","0","0","0","4:16.0","256","0","0","1937"
"Miklos Szabo","0","0","0","","","1","0","1937"
"Joseph R. Mangan","0","1","0","4:11.0","251","0","0","1936"
"Gene Venzke","0","0","0","4:11.1","251.1","0","0","1936"
"Glenn Cunningham","0","0","0","4:11.2","251.2","0","0","1936"
"Archie San Romani","0","0","0","","","0","0","1936"
"Norman Bright","0","0","0","","","0","0","1936"
"Donald Lash","0","0","0","","","0","1","1936"
"Glenn Cunningham","0","1","0","4:11.0","251","0","0","1935"
"Gene Venzke","0","0","0","","","0","0","1935"
"William R. Bonthron","0","0","0","","","0","0","1935"
"Eric Ny","0","0","0","","","0","0","1935"
"William Ray","0","0","0","","","0","0","1935"
"Glenn Cunningham","0","1","0","4:11.2","251.2","0","0","1934"
"Gene Venzke","0","0","0","","","0","0","1934"
"Glen Dawson","0","0","0","","","0","0","1934"
"Frank Crowley","0","0","0","","","0","0","1934"
"Joseph R. Mangan","0","0","0","","","0","0","1934"
"Glenn Cunningham","0","0","0","4:13.0","253","0","0","1933"
"Gene Venzke","0","0","0","","","0","0","1933"
"Carl Coan","0","0","0","","","0","0","1933"
"Leo Lermond","0","0","0","","","0","0","1933"
"Ray Conger","0","0","0","","","0","0","1933"
"Eric Ny","0","0","0","","","0","1","1933"
"Frank Crowley","0","0","0","","","0","1","1933"
"Gene Venzke","1","1","1","4:11.2","251.2","0","0","1932"
"Leo Lermond","0","0","0","","","0","0","1932"
"Frank Crowley","0","0","0","","","0","0","1932"
"Ray Conger","0","0","0","","","0","0","1932"
"Orval Martin","0","0","0","","","0","0","1932"
"Ray Conger","0","1","0","4:13.6","253.6","0","0","1931"
"Leo Lermond","0","0","0","","","0","0","1931"
"Gene Venzke","0","0","0","","","0","0","1931"
"Joseph Sivak","0","0","0","","","0","0","1931"
"Ray Conger","0","0","0","4:21.8","261.8","0","0","1930"
"Orval Martin","0","0","0","","","0","0","1930"
"Joseph Sivak","0","0","0","","","0","0","1930"
"Ray Conger","0","0","0","4:17.4","257.4","0","0","1929"
"Paavo Nurmi","0","0","0","","","0","0","1929"
"J. L. Montgomery","0","0","0","","","0","0","1929"
"William ""Willie"" Goodwin","0","0","0","","","0","0","1929"
"Lloyd Hahn","0","0","0","4:18.6","258.6","0","0","1928"
"Ray Conger","0","0","0","","","0","0","1928"
"Joseph Sivak","0","0","0","","","0","0","1928"
"James J. Connolly","0","0","0","","","0","0","1928"
"W. O. Spencer","0","0","0","","","0","0","1928"
"Lloyd Hahn","0","1","0","4:15.6","255.6","0","0","1927"
"James J. Connolly","0","0","0","","","0","0","1927"
"Joseph Sivak","0","0","0","","","0","0","1927"
"James J. Connolly","0","1","0","4:17.2","257.2","0","0","1926"
"Edward ""Eddie"" Kirby","0","0","0","","","0","0","1926"
"Willie Ritola","0","0","0","","","0","0","1926"
"Walter Gegan","0","0","0","","","0","0","1926"
